Regione,1.1 (settimana precedente),1.1 (settimana di riferimento),1.2,1.3,1.4,2.1 (settimana di riferimento),2.1 (settimana precedente),2.2,2.3,2.4,2.5,Tot RU,2.6,Trasmissione non gestibile,3.1,3.2 (MED),3.2 (CI INF),3.2 (CI SUP),3.4,3.5 (nuovi focolai),3.6,3.8,3.9,Probabilità,Impatto,Classificazione Rischio,Classificazione Alta e/o equiparata ad Alta per 3 o più settimane consecutive,Note
Abruzzo,86.9,83.8,99.8,100,99.7,22.30%,19.80%,2,3,0.9,1,1.9,87.00%,No,-26.1,0.65,0.6,0.71,-21.5,119,527,20%,31%,Bassa,Bassa,Bassa,No,
Basilicata,99.9,100,100,100,100,7.30%,7.90%,1,-3,1.2,6.2,7.4,100.0%,No,-25.2,1.09,0.9,1.3,-17.9,0,9,7%,22%,Bassa,Bassa,Bassa,No,Il dato di Rt è verosimilmente sottostimato (vedi indicatore 1.1).
Calabria,86.1,91.4,100,96.3,99.5,9.90%,8.10%,2,0,0.9,0.6,1.5,95.0%,No,13.9,1.09,1,1.19,16.2,16,332,9%,28%,Moderata,Bassa,Moderata,No,
Campania,90.4,90.6,100,100,98.9,9.30%,9.30%,1,,0.7,1.4,2.2,97.1%,No,-15.8,0.78,0.72,0.83,-19.2,365,1770,16%,31%,Bassa,Bassa,Bassa,No,
Emilia-Romagna,100,100,100,100,99.3,15%,13.70%,2,,1.2,1.7,2.8,80.4%,No,-1,0.98,0.96,1.01,-19,49,5072,29%,46%,Bassa,Moderata,Moderata ad alto rischio di progressione a rischio alto,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Friuli-Venezia Giulia,99.9,100,100,100,99.8,22.70%,26.20%,3,2,1.3,1.2,1.5,93.7%,No,-51.5,0.96,0.92,1.01,-14.3,524,1534,32%,51%,Bassa,Alta,Moderata,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Lazio,91.5,90.8,98.1,100,90.9,22%,21%,3,1,0.9,1,1.8,99.5%,No,-6.3,0.84,0.81,0.88,-10.8,101,130,33%,44%,Bassa,Alta,Moderata,No,
Liguria,85.6,88.4,99.9,100,97.9,8.10%,8.30%,2,2,1,1,2,92.1%,No,-22.1,1.07,1.01,1.13,-21.6,145,65,28%,42%,Bassa,Moderata,Moderata,No,
Lombardia,72.7,63.4,99.9,100,98.2,25.20%,23.00%,2,,1,1,1.9,93.2%,No,-18.1,1,0.98,1.02,-27.4,1422,6804,41%,31%,Bassa,Alta,Moderata,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Marche,99.9,100,100,100,100,9.30%,10.90%,1,1,1,1.4,2.4,100.0%,No,-1.7,0.99,0.88,1.09,-3.8,135,1110,28%,39%,Bassa,Bassa,Bassa,No,
Molise,98.5,94.1,100,100,100,10.60%,7.60%,-1,-1,1.5,2.4,3.8,100.0%,No,-1.4,0.89,0.67,1.14,-46.9,1,0,24%,26%,Bassa,Bassa,Bassa ad alto rischio di progressione a rischio moderato,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Piemonte,98.5,97.6,99.5,99.9,98.6,8.20%,9.80%,4,1,1.2,1.8,3.1,94.3%,No,28.4,0.71,0.68,0.73,-29.3,590,1135,33%,52%,Bassa,Alta,Moderata,No,
Provincia Autonoma di Bolzano/Bozen,93.2,93.4,100,100,99.6,32.00%,32.70%,3,1,5.4,1.4,6.8,100.0%,No,-49.1,0.76,0.7,0.82,-28.2,23,173,26%,33%,Bassa,Bassa,Bassa,No,
Provincia Autonoma di Trento,100,100,100,100,95.4,20.50%,24.90%,3,3,1.1,1.6,2.7,100.0%,No,-45.2,0.71,0.66,0.77,-47.9,10,767,50%,62%,Bassa,Alta,Moderata,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Puglia,93.5,94.9,100,100,100,31.20%,33.30%,4,4,0.9,0.8,1.8,91.5%,No,-23.4,1,0.97,1.03,-25.3,121,3353,30%,43%,Bassa,Alta,Moderata,No,
Sardegna,61.8,59.1,99.8,100,99.7,11%,11%,3,2,0.7,1.9,2.6,77.1%,No,-16.6,0.78,0.72,0.85,-38,202,227,24%,30%,Non valutabile,Bassa,Non valutabile (equiparato a rischio alto),No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Sicilia,91.1,91.9,99.9,100,99.2,17.10%,5.90%,2,,0.7,1.9,2.5,86.6%,No,-19.8,0.93,0.89,0.97,-0.6,538,2779,22%,26%,Bassa,Bassa,Bassa,No,
Toscana,96.8,96.1,100,100,99.3,11.30%,10.90%,0,2,2.1,1.8,4,99.2%,No,-12.7,0.79,0.76,0.83,-24.6,165,1382,29%,18%,Bassa,Bassa,Bassa,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Umbria,92.4,91.5,100,100,99.3,12.50%,12.00%,3,1,1.5,3.1,4.6,100.0%,No,-21.7,0.8,0.73,0.86,-23.2,129,491,26%,35%,Bassa,Bassa,Bassa ad alto rischio di progressione a rischio moderato,No,
Valle d'Aosta/Vallée d'Aoste,94.3,92.5,100,100,99.7,17.20%,17.30%,2,1,2.2,1.9,4.1,100.0%,No,-6.2,0.83,0.66,1.01,-18.8,43,0,12%,54%,Bassa,Moderata,Moderata ad alto rischio di progressione a rischio alto,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Veneto,86.5,85.3,100,100,100,13.80%,13.20%,2,1,1,1.8,2.8,95.5%,No,-9.7,1.07,1.06,1.09,-9.3,4484,4165,36%,45%,Bassa,Alta,Moderata ad alto rischio di progressione a rischio alto,No,
