Regione,1.1 (settimana precedente),1.1 (settimana di riferimento),1.2,1.3,1.4,2.1 (settimana di riferimento),2.1 (settimana precedente),2.2,2.3,2.4,2.5,Tot RU,2.6,Trasmissione non gestibile,3.1,3.2 (MED),3.2 (CI INF),3.2 (CI SUP),3.4,3.5 (nuovi focolai),3.6,3.8,3.9,Probabilità,Impatto,Classificazione Rischio,Classificazione Alta e/o equiparata ad Alta per 3 o più settimane consecutive,Note
Abruzzo,83.8,85.8,100,100,99.7,28.20%,22.30%,3,4,0.8,1,1.8,96.50%,No,42.1,0.9,0.83,0.97,53.8,202,699,21%,31%,Moderata,Bassa,Moderata,No,
Basilicata,100,99.8,100,ND,100,9.50%,7.30%,2,-2,1.2,6.2,7.4,100.0%,No,37.4,0.83,0.67,1,46.7,0,7,5%,22%,Moderata,Bassa,Moderata,No,
Calabria,91.4,90.5,98.4,96.4,99.5,12.50%,9.90%,2,0,0.9,0.6,1.5,95.0%,No,22.9,1.14,1.04,1.24,11.4,16,285,12%,27%,Moderata,Bassa,Moderata ad alto rischio di progressione a rischio alto,No,
Campania,90.6,92.2,100,100,99,11.10%,9.30%,1,,0.8,1.5,2.2,96.0%,No,13,0.83,0.76,0.89,30,517,2209,15%,31%,Moderata,Bassa,Moderata,No,
Emilia-Romagna,100,100,100,100,99.4,19.40%,15.40%,3,,1.2,1.7,2.8,80.4%,No,8.6,1.05,1.03,1.08,11.9,77,6696,31%,44%,Moderata,Alta,Alta,No,
Friuli-Venezia Giulia,100,100,99.8,100,99.9,26.40%,22.70%,3,2,1.3,1.2,1.5,93.7%,No,46.8,0.91,0.86,0.95,32.3,668,2532,36%,52%,Moderata,Alta,Alta,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Lazio,90.8,91.7,98.3,100,88.9,27.20%,22%,4,0,0.9,1,1.8,99.5%,No,16,0.98,0.94,1.02,16.5,195,319,34%,44%,Moderata,Alta,Alta,No,
Liguria,88.4,91.3,99.8,100,98.2,10.80%,8.10%,3,2,1,1,2,92.1%,No,44.1,1.02,0.95,1.08,40.1,256,94,35%,42%,Moderata,Alta,Alta,No,
Lombardia,63.4,75.4,99.8,100,98.6,33.50%,25.20%,3,,1,1,1.9,93.2%,No,3,1.27,1.24,1.3,23.7,1322,7683,39%,28%,Moderata,Alta,Alta,No,
Marche,100,100,100,100,100,11.20%,9.30%,1,0,1,1.4,2.4,100.0%,No,35,0.93,0.82,1.05,48.6,129,1696,30%,42%,Moderata,Alta,Alta,No,
Molise,94.1,90.7,98.7,100,100,12.30%,10.60%,-1,-1,1.1,2.8,3.9,100.0%,No,-16.4,1.27,0.96,1.63,44.3,9,0,29%,24%,Moderata,Bassa,Moderata ad alto rischio di progressione a rischio alto,No,
Piemonte,97.6,97.3,99.3,99.9,98.5,11.90%,8.20%,4,1,1.2,1.8,3.1,94.3%,No,18.2,0.95,0.92,0.99,20.2,828,1463,29%,48%,Moderata,Alta,Alta,No,
Provincia Autonoma di Bolzano/Bozen,93.4,89.3,98.5,100,99.6,35.70%,32.00%,3,1,5.4,1.4,6.8,100.0%,No,67.8,0.81,0.75,0.89,62.7,37,234,32%,43%,Moderata,Alta,Alta,No,
Provincia Autonoma di Trento,100,99.9,100,100,96.1,22.60%,20.50%,3,3,1.1,1.6,2.7,100.0%,No,28.9,0.85,0.79,0.91,106.7,13,1093,48%,63%,Moderata,Alta,Alta,No,
Puglia,94.9,96.3,100,100,100,36.20%,31.20%,4,4,0.9,0.8,1.8,91.5%,No,23.5,1,0.96,1.03,26.7,190,4199,30%,43%,Moderata,Alta,Alta,No,
Sardegna,59.1,70.7,99.3,100,99.8,12.40%,11%,4,1,0.7,1.9,2.6,77.1%,No,-2.4,1.02,0.95,1.09,-16.4,232,251,24%,29%,Moderata,Bassa,Moderata,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Sicilia,91.9,90.5,99.8,100,99.3,14.10%,17.10%,2,,0.7,2,2.6,86.5%,No,36.2,1.04,0.99,1.08,23.3,644,3494,23%,28%,Moderata,Bassa,Moderata,No,
Toscana,96.1,96.6,100,100,99.3,13.70%,11.30%,0,2,2.1,1.8,4,99.2%,No,-0.5,0.9,0.87,0.95,16.1,223,1585,25%,17%,Bassa,Bassa,Bassa,No,
Umbria,91.5,89.3,100,100,99.2,17.70%,12.50%,3,1,1.5,3.1,4.6,100.0%,No,67.2,1.01,0.95,1.08,48.7,130,633,34%,36%,Moderata,Alta,Alta,No,
Valle d'Aosta/Vallée d'Aoste,92.5,92.9,100,100,99.7,12%,17.20%,2,0,2.2,2.4,4.6,98.6%,No,0.7,1.07,0.87,1.27,26.2,57,0,5%,48%,Moderata,Moderata,Moderata,No,
Veneto,85.3,84.6,100,100,100,15.60%,13.80%,2,1,1,1.8,2.8,95.3%,No,3.7,0.97,0.96,0.98,3.1,1605,5315,37%,45%,Moderata,Alta,Alta,No,
