Regione,1.1 (settimana precedente),1.1 (settimana di riferimento),1.2,1.3,1.4,2.1 (settimana di riferimento),2.1 (settimana precedente),2.2,2.3,2.4,2.5,Tot RU,2.6,Trasmissione non gestibile,3.1,3.2 (MED),3.2 (CI INF),3.2 (CI SUP),3.4,3.5 (nuovi focolai),3.6,3.8,3.9,Probabilità,Impatto,Classificazione Rischio,Classificazione Alta e/o equiparata ad Alta per 3 o più settimane consecutive,Note
Abruzzo,91.9,64.5,100,100,98.9,33.9%,23.4%,1,Non calcolabilie,0.4,0.6,1,89.9%,No,17,1.34,1.26,1.43,13.8,307,4062,29%,41%,Moderata,Alta,Alta,Si,
Basilicata,56.3,52,100,100,99.6,11.8%,6.7%,3,Non calcolabilie,1,4.7,5.6,100.0%,No,79.8,1.64,1.42,1.89,49.3,16,0,Non disponibile,Non disponibile,Non valutabile,Non valutabile,Non valutabile (equiparato a Rischio Alto),Si,
Calabria,64.6,33.7,100,100,83.7,12.5%,8.7%,2,Non calcolabilie,0.6,0.6,1.2,91.9%,No,41.8,1.38,1.23,1.54,50.3,32,174,13%,35%,Non valutabile,Bassa,Non valutabile (equiparato a Rischio Alto),Si,
Campania,97.7,95.6,99.9,100,88.1,20.6%,18.1%,1,Non calcolabilie,0.4,0.7,1.1,96.6%,No,30.2,1.62,1.57,1.68,31,885,2209,31%,50%,Moderata,Alta,Alta,No,
Emilia-Romagna,100,100,100,100,99,24.2%,18.7%,3,Non calcolabilie,0.5,1.1,1.6,100.0%,No,27.1,1.4,1.37,1.43,-4.1,123,7317,34%,50%,Moderata,Alta,Alta,No,
Friuli-Venezia Giulia,81.3,87.7,100,100,99.6,27.2%,23.6%,3,3,1,1.2,2.3,83.5%,No,13,1.42,1.34,1.49,16.8,522,1571,26%,27%,Moderata,Bassa,Alta (molteplici allerte di resilienza),No,
Lazio,92.2,80.1,99.8,100,88.6,24.9%,17.8%,4,2,0.9,1,1.8,88.0%,No,17.2,1.04,1.01,1.06,-12.3,361,704,26%,47%,Moderata,Alta,Alta,No,Ritardi di notifica nel flusso ISS che potrebbero rendere alcuni indicatori meno affidabili
Liguria,65.5,66.4,100,100,96.6,19.4%,18.0%,5,Non calcolabile,0.6,1.4,2,64.5%,Si,12.6,1.1,1.07,1.14,11,1082,407,47%,70%,Alta,Alta,Alta,Si,
Lombardia,70.6,69.9,99.9,100,97.6,41.5%,32.0%,5,Non calcolabile,0.6,0.9,1.5,50.6%,No,12.8,1.46,1.45,1.46,8.9,2477,31211,58%,48%,Moderata,Alta,Alta,Si,
Marche,99.9,100,100,100,99.9,30.8%,26.0%,3,0.5,0.5,1.1,1.6,100.0%,No,18.5,1.55,1.42,1.67,8.6,304,1760,45%,56%,Moderata,Alta,Alta,No,
Molise,97.6,98.7,100,100,100,6.7%,12.8%,-0.5,-0.5,1.5,2.2,3.6,100.0%,No,11.8,1.31,1.03,1.63,5.5,25,0,24%,23%,Moderata,Bassa,Moderta con probabilità alta di progressione a rischio Alto,No,
Piemonte,88.6,95.6,99.5,99.6,98.5,28.7%,21.2%,9,2,0.6,1.3,1.8,86.9%,No,46.7,1.31,1.29,1.33,25.4,2881,4754,59%,92%,Moderata,Alta,Alta,Si,
Provincia Autonoma di Bolzano/Bozen,94.8,83.7,99.5,100,95.8,48.1%,29.4%,6,5,0.9,1.4,2.3,100.0%,No,69.6,1.59,1.52,1.66,68.6,254,774,54%,84.00%,Moderata,Alta,Alta,No,
Provincia Autonoma di Trento,100,99.9,99.8,100,91.5,21.8%,22.7%,3,Non calcolabile,1.1,1.6,2.7,100.0%,No,-1.2,1.3,1.21,1.4,12.2,30,,47%,59%,Moderata,Alta,Alta,No,
Puglia,92.7,93.7,99.9,100,99.8,28.6%,26.5%,4,Non calcolabile,0.9,1.4,2.3,92.0%,No,34.5,1.44,1.39,1.49,26.8,62,4714,33%,40%,Moderata,Alta,Alta,No,
Sardegna,62.7,62.5,99.3,100,93.9,14.1%,12.6%,5,2,0.4,1.3,1.6,98.5%,No,17.4,1,0.93,1.07,-42.8,194,347,31%,30%,Moderata,Alta,Alta,No,Ritardi di notifica nel flusso ISS che potrebbero rendere alcuni indicatori meno affidabili
Sicilia,90.4,85.9,99.6,100,99.1,22.7%,12.2%,3,Non calcolabile,0.3,0.9,1.2,83.6%,No,41.3,1.13,1.09,1.19,13.7,342,5521,28%,34%,Moderata,Bassa,Alta (molteplici allerte di resilienza),Si,
Toscana,100,100,99.8,100,99.7,25.3%,22.3%,-2,0,0.5,0.9,1.5,39.9%,Si,6.2,1.8,1.72,1.86,-14.4,257,12651,48%,39%,Alta,Alta,Alta,Si,Ritardi di notifica nel flusso ISS che potrebbero rendere alcuni indicatori meno affidabili
Umbria,87.8,67.4,100,100,99.1,30.8%,31.2%,2,2,0.7,2,2.7,90.3%,No,9.3,1.43,1.36,1.49,9.5,54,4576,58%,52.00%,Moderata,Alta,Alta,No,
Valle d'Aosta/Vallée d'Aoste,48.2,45.7,100,100,99.6,37.8%,34.9%,5,Non calcolabile,1,2.7,3.7,58.2%,No,-10.6,1.74,1.58,1.92,7.1,60,296,57%,85%,Non valutabile,Moderata,Non valutabile (equiparato a Rischio Alto),Si,
Veneto,89.4,81.8,99.9,100,100,38.9%,32.7%,1,1,1,1.8,2.8,85.7%,No,34.2,1.26,1.22,1.3,35,4125,2918,21%,28%,Moderata,Bassa,Alta (molteplici allerte di resilienza),No,
