Regione,1.1 (settimana precedente),1.1 (settimana di riferimento),1.2,1.3,1.4,2.1 (settimana di riferimento),2.1 (settimana precedente),2.2,2.3,2.4,2.5,Tot RU,2.6,Trasmissione non gestibile,3.1,3.2 (MED),3.2 (CI INF),3.2 (CI SUP),3.4,3.5 (nuovi focolai),3.6,3.8,3.9,Probabilità,Impatto,Classificazione Rischio,Classificazione Alta e/o equiparata ad Alta per 3 o più settimane consecutive,Note
Abruzzo,81.7,77.6,99.9,100,99.4,35.10%,37.30%,2,3,0.9,1,1.9,87.00%,No,-14.4,0.85,0.81,0.89,-12.9,497,5451,40%,47%,Bassa,Alta,Moderata,No,
Basilicata,87,88.8,100,100,100,11.60%,12.80%,6,0,2.7,4.8,7.6,100.0%,No,-7,0.76,0.67,0.85,-6.3,3,25,23%,35%,Bassa,Bassa,Bassa,No,
Calabria,20.3,29.4,100,100,82.9,13.10%,16.40%,6,1,0.9,0.6,1.5,95.0%,No,-33,1.06,0.98,1.15,-42.4,15,245,26%,47%,Non valutabile,Alta,Non valutabile (equiparato a rischio alto),Si,
Campania,93,91.7,99.9,99.5,84,12.30%,16.70%,1,Non calcolabile,0.7,1.3,2,91.5%,No,-30.6,0.74,0.72,0.77,-30.7,397,3948,29%,"39,97%",Bassa,Bassa,Bassa,No,Il dato di Rt è verosimilmente sottostimato (vedi indicatore 1.1).
Emilia-Romagna,100,100,100,100,99.4,27.20%,28.80%,2,Non calcolabile,0.9,1.4,2.4,73.6%,No,-11.1,0.99,0.98,1.01,-28.3,53,7575,33%,49%,Bassa,Alta,Moderata con probabilità alta di progressione a rischio alto,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Friuli-Venezia Giulia,93.4,99.8,100,100,99.8,27.70%,34.30%,3,2,1,1.2,2.3,91.7%,No,-20.5,0.92,0.89,0.96,-13,824,1613,35%,50%,Bassa,Alta,Moderata,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Lazio,92.9,93.4,99.5,99.7,73.1,25%,30%,4,0,0.9,1,1.8,85.4%,No,-15.3,1.04,1.01,1.06,-27.1,210,577,37%,50%,Bassa,Alta,Moderata,No,
Liguria,70.4,74.9,99.9,100,97.3,10.40%,13.10%,4,2,0.6,1.4,2,72.7%,No,-30.1,0.68,0.65,0.71,-30.6,290,242,47%,54%,Bassa,Alta,Moderata,No,
Lombardia,76.3,78.6,99.9,100,98.3,34.30%,41.20%,4,Non calcolabile,1,1,2,75.8%,No,-32.6,0.93,0.93,0.94,-37.9,2751,11666,61%,49%,Bassa,Alta,Moderata,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Marche,99.8,99.7,95.1,88.9,100,26.10%,26.80%,2,1,0.8,1.5,2.3,100.0%,No,-9.7,0.74,0.66,0.82,-5.5,188,1308,44%,49%,Bassa,Alta,Moderata con probabilità alta di progressione a rischio alto,No,
Molise,94.4,98.8,100,100,100,12.40%,13.50%,0,0,1.5,2.4,3.8,100.0%,No,-21.6,1.38,1.07,1.77,-10.2,15,0,38%,29%,Bassa,Alta,Moderata con probabilità alta di progressione a rischio alto,No,
Piemonte,95.2,99.7,100,99.9,98.8,20.20%,22.90%,7,1,1,1.6,2.6,92.0%,No,-30.5,0.72,0.71,0.73,-32.6,1724,4350,60%,80%,Bassa,Alta,Moderata,No,
Provincia Autonoma di Bolzano/Bozen,89.7,89.4,99.4,100,99.4,60.10%,58.20%,5,3,0.9,1.4,2.3,100.0%,No,-38.6,0.8,0.77,0.84,-35.8,84,950,44%,74%,Bassa,Alta,Moderata,No,
Provincia Autonoma di Trento,99.9,100,100,100,96.3,19.40%,19.80%,3,Non calcolabile,1.1,1.6,2.7,95.0%,No,-8.9,0.83,0.77,0.89,12,11,1057,49%,67%,Bassa,Alta,Moderata con probabilità alta di progressione a rischio alto,No,
Puglia,95.6,94,100,100,100,35.10%,35.30%,8,5,0.9,1.4,2.3,92.0%,No,7.1,0.89,0.86,0.91,-6.6,108,5763,48%,49%,Moderata,Alta,Alta,Si,
Sardegna,67.1,65.9,100,100,99.5,15%,16%,6,Non calcolabile,0.5,1.6,2.1,67.6%,No,-19.8,0.61,0.55,0.66,-3.8,297,180,38%,36%,Bassa,Alta,Alta,Si,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Sicilia,82.6,84.1,99.8,100,98.7,10.00%,9.50%,4,Non calcolabile,0.5,1.6,2,63.7%,No,-18.8,0.79,0.76,0.81,-30.9,364,6206,27%,35%,Bassa,Bassa,Moderata,No,
Toscana,91.6,88.3,100,100,99.6,13.70%,23.90%,0,2,2.2,1.7,3.9,96.6%,No,-48.7,1.01,0.98,1.03,-51.7,330,3937,44%,31%,Bassa,Alta,Moderata,No,
Umbria,69.5,80.1,100,100,99.3,15.90%,20.90%,3,1,1.5,3.1,4.6,90.3%,No,-31.9,0.71,0.67,0.74,-30.8,31,1573,49%,48%,Bassa,Alta,Moderata,No,
Valle d'Aosta/Vallée d'Aoste,86.9,90.6,100,100,99.7,21.00%,25.70%,3,2,1.1,2.9,3.9,96.6%,No,-43.2,0.79,0.73,0.86,-45.5,108,11,39%,57%,Bassa,Moderata,Moderata,No,
Veneto,85.8,85.4,100,99.8,100,13.50%,44.20%,2,1,1,1.8,2.8,92.9%,No,-4.1,1.13,1.11,1.15,-6.6,4247,5940,"30,1%",42%,Bassa,Alta,Moderata con probabilità alta di progressione a rischio alto,No,
