Regione,1.1 (settimana precedente),1.1 (settimana di riferimento),1.2,1.3,1.4,2.1 (settimana di riferimento),2.1 (settimana precedente),2.2,2.3,2.4,2.5,Tot RU,2.6,Trasmissione non gestibile,3.1,3.2 (MED),3.2 (CI INF),3.2 (CI SUP),3.4,3.5 (nuovi focolai),3.6,3.8,3.9,Probabilità,Impatto,Classificazione Rischio,Classificazione Alta e/o equiparata ad Alta per 3 o più settimane consecutive,Note
Abruzzo,85.8,85.5,100,100,99.6,27.60%,28.20%,3,4,0.8,1,1.8,96.50%,No,23.5,1.18,1.11,1.27,17.2,279,658,20%,32%,Moderata,Bassa,Moderata ad alto rischio di progressione ad alto,No,
Basilicata,99.8,99.7,100,ND,100,9.50%,9.50%,2,-2,1.2,6.2,7.4,100.0%,No,25.1,1.14,0.96,1.36,24.3,8,15,5%,22%,Moderata,Bassa,Moderata,No,
Calabria,90.5,89.1,97.8,96.9,99.4,13.50%,12.50%,3,0,0.9,0.6,1.5,85.0%,No,23.6,1.05,0.96,1.14,4.2,21,351,14%,30%,Moderata,Bassa,Alta (molteplici allerte di resilienza),No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Campania,92.2,89.2,99.6,100,99.2,11.20%,11.10%,1,Non calcolabile,0.8,1.5,2.2,96.0%,No,17,0.99,0.91,1.06,15.6,564,2380,18%,31%,Moderata,Bassa,Moderata,No,
Emilia-Romagna,100,100,100,100,99.6,19.30%,19.40%,3,Non calcolabile,1.2,1.6,2.8,81.2%,No,10.7,1.15,1.13,1.18,-0.5,62,6629,31%,45%,Moderata,Alta,Alta,No,
Friuli-Venezia Giulia,100,100,99.8,98.4,99.8,24.40%,26.40%,4,2,1.3,1.2,2.5,93.7%,No,35.7,0.94,0.89,0.99,30.8,894,2023,39%,53%,Moderata,Alta,Alta,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Lazio,91.7,91.3,94.2,100,86.3,27.50%,27%,4,1,0.9,1,1.8,99.5%,No,15.6,1.1,1.07,1.12,-6,262,400,35%,45%,Moderata,Alta,Alta,No,"Denominatore 1.1 fornito direttamente della Regione, invece di essere calcolato attraverso il sistema di sorveglianza integrata ISS"
Liguria,91.3,92.1,99.8,100,98.4,10.80%,10.80%,3,1,1,1,2,92.1%,No,12.2,1.15,1.1,1.21,12.8,301,112,30%,42%,Moderata,Moderata,Moderata,No,
Lombardia,75.4,79.6,99.5,100,98.7,32.90%,33.50%,2,Non calcolabile,1,1,1.6,93.5%,No,19.6,1.4,1.38,1.43,-1.8,1954,7130,38%,32%,Moderata,Alta,Alta,No,
Marche,100,100,99.8,100,100,11%,11.20%,1,0,1,1.4,2.4,100.0%,No,17.2,0.97,0.87,1.09,8.1,158,2016,36%,50%,Moderata,Alta,Alta,No,
Molise,90.7,90.3,98.6,100,100,11.70%,12.30%,-1,-1,1.1,2.8,3.9,100.0%,No,43.3,0.7,0.46,0.98,2.7,16,0,17%,27%,Moderata,Bassa,Moderata ad alto rischio di progressione ad alto,No,
Piemonte,97.3,99.2,99.3,99.9,98.7,12.70%,11.90%,4,0,1.3,1.9,3.2,96.3%,No,19,1.14,1.1,1.18,15.8,1059,1790,27%,46%,Moderata,Alta,Alta,No,
Provincia Autonoma di Bolzano/Bozen,89.3,85.9,98.5,100,99.5,37.10%,35.70%,5,1,5.4,1.4,6.8,100.0%,No,37.6,1.5,1.4,1.58,29.4,35,357,32%,46%,Moderata,Alta,Alta,No,
Provincia Autonoma di Trento,99.9,100,100,100,96.8,23.50%,22.60%,3,3,1.1,1.6,2.7,100.0%,No,10.7,1.01,0.95,1.09,-7.3,9,1077,48%,57%,Moderata,Moderata,Moderata ad alto rischio di progressione ad alto,No,
Puglia,96.3,96.9,100,100,100,37.40%,36.20%,4,4,0.9,0.8,1.8,91.5%,No,10.3,1.18,1.14,1.21,11.2,258,3594,37%,41%,Moderata,Alta,Alta,No,
Sardegna,70.7,87.1,99.2,100,99.8,13.60%,12%,3,1,0.7,1.9,2.5,81.5%,No,12.6,0.99,0.92,1.05,-1.5,278,207,25%,31%,Moderata,Bassa,Moderata,No,
Sicilia,90.5,86.8,99.8,100,99.5,28.90%,14.10%,2,Non calcolabile,0.7,2,2.6,86.5%,No,66,1.19,1.14,1.25,36.6,1133,5619,26%,32%,Moderata,Bassa,Alta (molteplici allerte di resilienza),No,
Toscana,96.6,98.3,100,100,99.4,10.80%,13.70%,0,2,2.1,1.8,4,99.2%,No,6.5,1.01,0.96,1.07,5.7,299,1328,25%,15%,Moderata,Bassa,Moderata ad alto rischio di progressione ad alto,No,
Umbria,89.3,94.5,100,100,99.1,16.70%,17.70%,3,1,1.5,3.1,4.6,100.0%,No,6.5,1.29,1.21,1.38,11.7,117,702,43%,35%,Moderata,Alta,Alta,No,
Valle d'Aosta/Vallée d'Aoste,92.9,95.5,99.1,100,99.8,14.10%,12.00%,3,1,2.2,2.5,4.4,98.6%,No,14.6,1.19,1.01,1.39,-4.2,75,0,5%,20%,Moderata,Bassa,Moderata,No,
Veneto,84.6,86.3,100,99.8,100,13.60%,15.60%,2,1,1,1.8,2.8,84.9%,No,-15.8,0.96,0.95,0.97,-18.1,3927,3582,36%,43%,Bassa,Alta,Moderata,No,
