Regione,1.1 (settimana precedente),1.1 (settimana di riferimento),1.2,1.3,1.4,2.1 (settimana di riferimento),2.1 (settimana precedente),2.2,2.3,2.4,2.5,Tot RU,2.6,Trasmissione non gestibile,3.1,3.2 (MED),3.2 (CI INF),3.2 (CI SUP),3.4,3.5 (nuovi focolai),3.6,3.8,3.9,Probabilità,Impatto,Classificazione Rischio,Classificazione Alta e/o equiparata ad Alta per 3 o più settimane consecutive,Note
Abruzzo,77.6,82.4,99.9,100,99.6,32.00%,35.10%,2,2,0.9,1,1.9,87.00%,No,-26.6,0.8,0.76,0.84,-39.6,311,1273,37%,44%,Bassa,Alta,Moderata,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Basilicata,88.8,90.7,100,100,100,8.50%,11.60%,6,-2,2.7,4.8,7.6,100.0%,No,-39.9,0.65,0.56,0.75,-35.9,6,25,17%,27%,Bassa,Bassa,Bassa,No,
Calabria,29.4,63,100,100,93.3,11.30%,13.10%,2,0,0.9,0.6,1.5,95.0%,No,-17.9,0.64,0.59,0.7,-29.5,12,181,16%,40%,Bassa,Alta,Moderata,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Campania,91.7,90.9,99.9,99.4,90.4,14.80%,12.30%,1,Non calcolabile,0.7,1.3,2,91.3%,No,-33.4,0.71,0.67,0.74,-40.2,789,3800,23%,42%,Bassa,Alta,Moderata,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Emilia-Romagna,100,100,100,100,99.4,28.00%,27.20%,2,Non calcolabile,0.9,1.4,2.4,73.6%,No,-16.8,0.81,0.79,0.83,-12.4,78,6209,31%,50%,Bassa,Alta,Alta (molteplici allerte di resilienza,No,
Friuli-Venezia Giulia,99.8,99.9,100,100,99.7,24.90%,27.70%,4,1,1,1.2,2.3,91.7%,No,-16.8,0.97,0.93,1.01,-29.6,826,1329,37%,52%,Bassa,Alta,Moderata,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Lazio,93.4,93.6,99.4,99.7,71.1,24%,25%,3,1,0.9,1,1.8,85.4%,No,-22.4,0.67,0.65,0.69,-20.7,235,312,36%,48%,Bassa,Alta,Moderata,No,
Liguria,74.9,75.9,99.9,100,97.4,8.60%,10.40%,3,2,1.1,1.1,2.1,81.9%,No,-29.8,0.63,0.6,0.67,-29.3,182,151,41%,47%,Bassa,Moderata,Moderata,No,
Lombardia,78.6,75.1,99.9,100,98.4,31.70%,34.30%,4,Non calcolabile,1,1,2.1,84.1%,No,-32.1,0.82,0.82,0.84,-35.6,2595,12124,56%,44%,Bassa,Alta,Moderata,No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Marche,99.7,99.9,100,100,100,19.80%,26.10%,2,1,0.8,1.5,2.3,100.0%,No,-4.1,0.8,0.72,0.89,-8.6,175,1240,45%,43%,Bassa,Alta,Moderata,No,
Molise,98.8,98.7,100,100,100,12.20%,12.40%,0,0,1.5,2.4,3.8,100.0%,No,-7.9,1.45,1.16,1.78,-20.6,0,0,24%,23%,Bassa,Bassa,Bassa,No,
Piemonte,99.7,99.6,99.8,99.9,98.8,16.20%,20.20%,6,1,1,1.6,2.6,92.0%,No,-31.6,0.64,0.63,0.65,-32.7,1156,2733,53%,71%,Bassa,Alta,Moderata,No,
Provincia Autonoma di Bolzano/Bozen,89.4,90.8,99.5,100,99.5,50.50%,60.10%,4,2,5.4,1.6,6.8,100.0%,No,-26.2,0.67,0.63,0.71,-29.2,50,557,39%,42%,Bassa,Alta,Moderata,No,
Provincia Autonoma di Trento,100,99.9,100,100,95.5,22.00%,19.40%,4,Non calcolabile,1.1,1.6,2.7,95.0%,No,8.5,0.91,0.83,0.98,3.4,28,1188,53%,71%,Moderata,Alta,Alta,No,
Puglia,94,93.9,99.9,100,100,34.70%,35.10%,5,5,0.9,1.4,2.3,92.0%,No,14.5,0.8,0.78,0.83,-11.6,156,5037,43%,47%,Moderata,Alta,Alta,Si,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Sardegna,65.9,67.1,100,100,99.7,15%,15%,5,Non calcolabile,0.5,1.6,2.1,67.6%,No,14.6,0.7,0.64,0.76,-19.9,333,299,34%,37%,Moderata,Alta,Alta,Si,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Sicilia,84.1,83.1,99.8,100,98.5,11.60%,10.00%,4,Non calcolabile,0.5,1.6,2,63.7%,No,-5.1,0.68,0.66,0.71,-29,303,5422,25%,32%,Bassa,Bassa,Moderata (molteplici allerte di resilienza),No,Rilevato un forte ritardo di notifica dei casi nel flusso ISS
Toscana,88.3,81.3,100,100,99.5,14.90%,13.70%,0,2,2.2,1.7,3.9,96.6%,No,-25.4,0.76,0.74,0.79,-28.3,312,2490,42%,27%,Bassa,Alta,Moderata,No,
Umbria,80.1,86.3,100,100,99.3,14.70%,15.90%,3,3,1.5,3.1,4.6,90.3%,No,-28.8,0.66,0.62,0.7,-27.6,5,1030,44%,42%,Bassa,Alta,Moderata,No,
Valle d'Aosta/Vallée d'Aoste,90.6,93.9,100,100,99.7,29.20%,21.00%,3,1,2.2,1.9,4.1,100.4%,No,-40.4,0.6,0.53,0.67,-35,107,3,27%,47%,Bassa,Moderata,Moderata,No,
Veneto,85.4,86.2,100,100,100,12.70%,13.50%,2,1,1,1.8,2.8,96.9%,No,3.6,0.91,0.89,0.93,10.1,4576,4564,32%,42%,Moderata,Alta,Alta,No,
